species,decimalLongitude,decimalLatitude,coordUncertaintyAdjusted,group
c_coulteri,-118.974839,34.820938,2500,c_coulteri_18
c_coulteri,-119.357015,34.687738,2500,c_coulteri_7
c_coulteri,-120.0759,35.107881,2500,c_coulteri_20
c_coulteri,-119.414366,34.755275,2500,c_coulteri_16
c_coulteri,-119.405089,34.919876,2500,c_coulteri_13
c_coulteri,-118.5057,35.5769,2500,c_coulteri_56
c_coulteri,-120.206,35.023,2500,c_coulteri_19
c_coulteri,-119.87585,35.034555,2500,c_coulteri_36
c_coulteri,-118.681032,35.516012,2500,c_coulteri_42
c_coulteri,-118.70956,35.53764,2500,c_coulteri_42
c_coulteri,-117.9737,35.2609,2500,c_coulteri_80
c_coulteri,-119.384287,36.820653,2500,c_coulteri_70
c_coulteri,-119.338746,36.715483,2500,c_coulteri_78
c_coulteri,-118.823756,36.104284,2500,c_coulteri_62
c_coulteri,-118.546825,35.014409,2500,c_coulteri_21
c_coulteri,-118.396965,34.682523,2500,c_coulteri_6
c_coulteri,-118.029179,35.618019,2500,c_coulteri_1
c_coulteri,-118.621315,34.906765,2500,c_coulteri_32
c_coulteri,-118.014442,35.566903,2500,c_coulteri_61
c_coulteri,-117.978012,35.576599,2500,c_coulteri_61
c_coulteri,-118.98,35.568056,2500,c_coulteri_54
c_coulteri,-118.448333,35.132644,4000,c_coulteri_28
c_coulteri,-119.612963,35.326753,2500,c_coulteri_82
c_coulteri,-118.506048,35.721438,2500,c_coulteri_49
c_coulteri,-118.761324,36.20566,2500,c_coulteri_68
c_coulteri,-118.8793,34.8611,2500,c_coulteri_18
c_coulteri,-118.843889,34.857778,2500,c_coulteri_18
c_coulteri,-118.903263,34.327422,2500,c_coulteri_3
c_coulteri,-118.88995,34.876196,5000,c_coulteri_18
c_coulteri,-118.587778,35.311111,2500,c_coulteri_83
c_coulteri,-119.4325,34.878333,2500,c_coulteri_11
c_coulteri,-118.585278,35.314167,2500,c_coulteri_83
c_coulteri,-118.68117,35.003660000000004,2500,c_coulteri_35
c_coulteri,-118.55452,34.945149,2500,c_coulteri_33
c_coulteri,-118.65712,34.91048,2500,c_coulteri_32
c_coulteri,-118.670174,35.44458,2500,c_coulteri_42
c_coulteri,-118.781766,35.437943,2500,c_coulteri_40
c_coulteri,-118.997215,34.838059,2500,c_coulteri_18
c_coulteri,-118.721268,35.608191,2500,c_coulteri_59
c_coulteri,-118.871264,34.802373,2500,c_coulteri_18
c_coulteri,-119.3173128,34.6138632,2500,c_coulteri_7
c_coulteri,-118.203493,35.161294,2500,c_coulteri_25
c_coulteri,-118.697143,34.709942,2500,c_coulteri_15
c_coulteri,-118.7223279,34.7381372,2500,c_coulteri_15
c_coulteri,-118.718832,34.71127,2500,c_coulteri_15
c_coulteri,-118.125055,35.190668,2500,c_coulteri_23
c_coulteri,-118.76821,34.830973,2500,c_coulteri_12
c_coulteri,-118.606837,34.761823,2500,c_coulteri_14
c_coulteri,-118.6166423,34.7673613,3500,c_coulteri_14
c_coulteri,-118.835092,34.816415,2500,c_coulteri_18
c_coulteri,-118.786343,35.164707,2500,c_coulteri_30
c_coulteri,-119.375767,34.905982,2500,c_coulteri_13
c_coulteri,-118.337839,35.053013,2500,c_coulteri_22
c_coulteri,-118.604447,34.891434,2500,c_coulteri_32
c_coulteri,-118.290081,35.294964,2500,c_coulteri_84
c_coulteri,-118.669177,34.866373,2500,c_coulteri_32
c_coulteri,-118.7644955,34.78045331,2500,c_coulteri_15
c_coulteri,-118.561061,35.135921,2500,c_coulteri_29
c_coulteri,-118.379194,35.107702,2500,c_coulteri_27
c_coulteri,-118.495466,35.086537,2500,c_coulteri_28
c_coulteri,-118.494114,35.089236,2500,c_coulteri_28
c_coulteri,-118.627262,34.756725,2500,c_coulteri_14
c_coulteri,-119.186036,34.965356,2500,c_coulteri_31
c_coulteri,-119.106377,36.75936,2500,c_coulteri_69
c_coulteri,-119.340006,36.715348,2500,c_coulteri_78
c_coulteri,-119.329837,36.718634,2500,c_coulteri_78
c_coulteri,-119.583682,37.02697,2500,c_coulteri_76
c_coulteri,-119.171091,36.686564,2500,c_coulteri_77
c_coulteri,-119.584132,37.03936,2500,c_coulteri_76
c_coulteri,-118.89027,35.564253,2500,c_coulteri_55
c_coulteri,-119.226969,36.570398,2500,c_coulteri_66
c_coulteri,-120.47162,36.082638,2500,c_coulteri_46
c_coulteri,-119.942879,37.262515,2500,c_coulteri_74
c_coulteri,-119.729574,36.934502,2500,c_coulteri_71
c_coulteri,-119.419452,37.165689,2500,c_coulteri_72
c_coulteri,-118.266667,35.667222,2500,c_coulteri_53
c_coulteri,-119.656389,35.287778,2500,c_coulteri_24
c_coulteri,-119.245543,36.742081,2500,c_coulteri_79
c_coulteri,-118.463411,35.701704,2500,c_coulteri_49
c_coulteri,-118.7472,36.151846,2500,c_coulteri_68
c_coulteri,-118.766967,36.217136000000004,2500,c_coulteri_68
c_coulteri,-119.33412,34.60069,2500,c_coulteri_7
c_coulteri,-119.892321,34.755002,2500,c_coulteri_8
c_coulteri,-119.911172,34.766115,2500,c_coulteri_8
c_coulteri,-119.424262,34.773774,2500,c_coulteri_16
c_coulteri,-119.37832,34.83793,2500,c_coulteri_17
c_coulteri,-118.483492,35.938397,2500,c_coulteri_48
c_coulteri,-118.8345,34.7924,2500,c_coulteri_18
c_coulteri,-120.186533,35.035576,2500,c_coulteri_19
c_coulteri,-118.0116,35.2647,2500,c_coulteri_80
c_coulteri,-119.222424,34.727205,2500,c_coulteri_9
c_coulteri,-118.381,34.5007,3000,c_coulteri_4
c_coulteri,-118.3973,34.6661,2500,c_coulteri_6
c_coulteri,-118.83301,35.17997,5000,c_coulteri_30
c_coulteri,-118.70882,35.22287,2500,c_coulteri_26
c_coulteri,-117.95083,35.4967,2500,c_coulteri_37
c_coulteri,-120.238754,35.67084,2500,c_coulteri_43
c_coulteri,-118.9391,35.4262,2500,c_coulteri_39
c_coulteri,-118.536208,35.729726,2500,c_coulteri_49
c_coulteri,-118.4101,35.5766,2500,c_coulteri_58
c_coulteri,-118.65944,34.69639,2500,c_coulteri_15
c_coulteri,-118.2563,35.41868,2500,c_coulteri_41
c_coulteri,-118.76444,34.78056,2500,c_coulteri_15
c_coulteri,-118.625,34.89417,2500,c_coulteri_32
c_coulteri,-118.9,34.33,2500,c_coulteri_3
c_coulteri,-119.35,34.64,2500,c_coulteri_7
c_coulteri,-119.394113,34.750075,2500,c_coulteri_16
c_coulteri,-118.222791,35.584025,2500,c_coulteri_57
c_coulteri,-118.782019,36.165758,2500,c_coulteri_68
c_coulteri,-118.134101,35.557936,2500,c_coulteri_60
c_coulteri,-118.17644,35.734173,2500,c_coulteri_51
c_coulteri,-118.963936,34.836021,2500,c_coulteri_18
c_coulteri,-118.888019,34.873982,2500,c_coulteri_18
c_coulteri,-118.634328,34.124985,2500,c_coulteri_2
c_coulteri,-118.918229,34.834019,2500,c_coulteri_18
c_coulteri,-118.696297,34.858159,2500,c_coulteri_32
c_coulteri,-118.540506,34.942649,2500,c_coulteri_33
c_coulteri,-118.607406,34.8995,2500,c_coulteri_32
c_coulteri,-118.662532,34.958794,3000,c_coulteri_35
c_coulteri,-118.831128,36.429536,2500,c_coulteri_64
c_coulteri,-118.620468,34.514196,2500,c_coulteri_5
c_coulteri,-118.84772,36.445913,2500,c_coulteri_64
c_coulteri,-118.644673,34.891287,2500,c_coulteri_32
c_coulteri,-118.078075,35.600981,2500,c_coulteri_1
c_coulteri,-118.3861111,35.56583333,2500,c_coulteri_58
c_coulteri,-119.1858333,34.98666667,2500,c_coulteri_31
c_coulteri,-118.1791667,35.74166667,2500,c_coulteri_51
c_coulteri,-119.291779,35.968565,5000,c_coulteri_47
c_coulteri,-119.3819444,36.82222222,2500,c_coulteri_70
c_coulteri,-118,35.71666667,2500,c_coulteri_50
c_coulteri,-118.689996,35.506551,2500,c_coulteri_42
c_coulteri,-118.025252,35.308341,2500,c_coulteri_80
c_coulteri,-119.18285,34.970008,2500,c_coulteri_31
c_coulteri,-118.893467,34.874462,2500,c_coulteri_18
c_coulteri,-118.960373,35.42563,2500,c_coulteri_39
c_coulteri,-118.595193,35.509986,2500,c_coulteri_38
c_coulteri,-118.478809,35.545019,2500,c_coulteri_56
c_coulteri,-118.709248,35.452728,2500,c_coulteri_42
c_coulteri,-119.012334,34.972532,2500,c_coulteri_34
c_coulteri,-118.464723,35.536016,2500,c_coulteri_56
c_coulteri,-118.803378,35.397989,2500,c_coulteri_40
c_coulteri,-118.643948,35.685325,2500,c_coulteri_52
c_coulteri,-118.540641,35.581096,2500,c_coulteri_56
c_coulteri,-118.496266,35.72007,2500,c_coulteri_49
c_coulteri,-118.710986,35.227654,2500,c_coulteri_26
c_coulteri,-118.70947,35.478235,2500,c_coulteri_42
c_coulteri,-118.030539,35.275109,2500,c_coulteri_80
c_coulteri,-118.392853,34.664585,2500,c_coulteri_6
c_coulteri,-118.75535,34.770633,2500,c_coulteri_15
c_coulteri,-119.713701,37.028005,2500,c_coulteri_75
c_coulteri,-119.514328,37.172579,2500,c_coulteri_73
c_coulteri,-120.248153,35.679588,2500,c_coulteri_43
c_coulteri,-119.640746,34.773385,2500,c_coulteri_10
c_coulteri,-119.08816,36.203006,5000,c_coulteri_67
c_coulteri,-118.092474,35.814025,2500,c_coulteri_45
c_coulteri,-118.929559,36.521891,2500,c_coulteri_65
c_coulteri,-119.142052,36.296061,5000,c_coulteri_63
c_coulteri,-119.402475,34.740144,2500,c_coulteri_16
c_coulteri,-119.371169,34.662698,2500,c_coulteri_7
c_coulteri,-118.02957,35.61742,2500,c_coulteri_1
c_coulteri,-118.133456,35.558095,2500,c_coulteri_60
c_coulteri,-118.2333333,35.525,2500,c_coulteri_57
c_coulteri,-118.95,35.425,2500,c_coulteri_39
c_coulteri,-118.01225,35.56666,2500,c_coulteri_61
c_coulteri,-118.663245,35.527352,2500,c_coulteri_42
c_coulteri,-118.76887,35.406607,2500,c_coulteri_40
c_coulteri,-118.8361111,35.80694444,2500,c_coulteri_44
c_coulteri,-118.245362,35.559594,2500,c_coulteri_57
c_coulteri,-118.05,35.6375,2500,c_coulteri_1
c_coulteri,-118.4938056,35.09119444,2500,c_coulteri_28
c_coulteri,-118.791099,35.312866,2500,c_coulteri_81
s_glandulosus,-122.592845,38.648425,2500,s_glandulosus_39
s_glandulosus,-122.336478,38.81891,2500,s_glandulosus_41
s_glandulosus,-122.38889,38.4875,4000,s_glandulosus_68
s_glandulosus,-122.287419,38.501135,3000,s_glandulosus_68
s_glandulosus,-122.241009,38.483258,2500,s_glandulosus_68
s_glandulosus,-122.3783333,38.68361111,5000,s_glandulosus_40
s_glandulosus,-122.1256,38.4812,2500,s_glandulosus_67
s_glandulosus,-121.410833,37.408611,2500,s_glandulosus_20
s_glandulosus,-121.771667,37.464722,2500,s_glandulosus_69
s_glandulosus,-121.8075,37.513056,2500,s_glandulosus_69
s_glandulosus,-121.830556,37.510556,2500,s_glandulosus_69
s_glandulosus,-121.812064,37.487385,2500,s_glandulosus_69
s_glandulosus,-122.2951,38.4914,2500,s_glandulosus_68
s_glandulosus,-120.410384,35.917517,2500,s_glandulosus_7
s_glandulosus,-122.62711,37.96767,2500,s_glandulosus_32
s_glandulosus,-122.852366,39.184114,5000,s_glandulosus_60
s_glandulosus,-122.704176,39.183573,3000,s_glandulosus_51
s_glandulosus,-122.817717,38.88489,2500,s_glandulosus_50
s_glandulosus,-122.486978,38.834509,2500,s_glandulosus_43
s_glandulosus,-122.583338,38.776422,2500,s_glandulosus_63
s_glandulosus,-122.6744444,38.78305556,2500,s_glandulosus_65
s_glandulosus,-122.573752,38.778866,2500,s_glandulosus_63
s_glandulosus,-122.76558,39.14763,2500,s_glandulosus_59
s_glandulosus,-123.156533,39.680337,2500,s_glandulosus_54
s_glandulosus,-123.415019,39.831012,2500,s_glandulosus_55
s_glandulosus,-123.084334,38.936694,2500,s_glandulosus_45
s_glandulosus,-123.2484,39.7969,5000,s_glandulosus_58
s_glandulosus,-123.0959,39.5158,2500,s_glandulosus_53
s_glandulosus,-123.13652,38.998196,2500,s_glandulosus_48
s_glandulosus,-121.540622,36.374662,2500,s_glandulosus_27
s_glandulosus,-121.503337,36.057451,2500,s_glandulosus_11
s_glandulosus,-121.217878,36.483486,4500,s_glandulosus_16
s_glandulosus,-121.548424,36.235878,2500,s_glandulosus_10
s_glandulosus,-121.638561,36.392755,2500,s_glandulosus_28
s_glandulosus,-121.496338,36.051935,2500,s_glandulosus_11
s_glandulosus,-121.358948,35.847959,2500,s_glandulosus_6
s_glandulosus,-121.544092,36.366599,2500,s_glandulosus_27
s_glandulosus,-121.555441,36.379055,2500,s_glandulosus_27
s_glandulosus,-121.699285,36.193261,2500,s_glandulosus_9
s_glandulosus,-121.838063,37.107741,2500,s_glandulosus_18
s_glandulosus,-121.298457,35.803572,2500,s_glandulosus_8
s_glandulosus,-121.549281,36.06211,2500,s_glandulosus_11
s_glandulosus,-122.319587,38.612542,2500,s_glandulosus_40
s_glandulosus,-122.3999,38.5065,5000,s_glandulosus_68
s_glandulosus,-122.591199,38.674998,2600,s_glandulosus_39
s_glandulosus,-122.503174,38.478369,2500,s_glandulosus_66
s_glandulosus,-122.366185,38.647046,2500,s_glandulosus_40
s_glandulosus,-122.411233,38.413742,2500,s_glandulosus_35
s_glandulosus,-122.2216667,38.35333333,2500,s_glandulosus_34
s_glandulosus,-122.36144,38.651362,2500,s_glandulosus_40
s_glandulosus,-122.343894,38.646474,2500,s_glandulosus_40
s_glandulosus,-122.6335,38.6695,2500,s_glandulosus_39
s_glandulosus,-122.350713,38.480125,2500,s_glandulosus_68
s_glandulosus,-122.315646,38.608702,2500,s_glandulosus_40
s_glandulosus,-122.214845,38.264162,3000,s_glandulosus_33
s_glandulosus,-121.178851,36.479334,5000,s_glandulosus_16
s_glandulosus,-121.194525,36.487018,4000,s_glandulosus_16
s_glandulosus,-120.656628,35.307205,2500,s_glandulosus_1
s_glandulosus,-121.114334,35.594282,2500,s_glandulosus_4
s_glandulosus,-120.656997,35.315413,2500,s_glandulosus_1
s_glandulosus,-120.940408,35.550318,2500,s_glandulosus_5
s_glandulosus,-120.859597,35.535121,2500,s_glandulosus_5
s_glandulosus,-120.637673,35.301265,2500,s_glandulosus_1
s_glandulosus,-120.75896,35.428467,5000,s_glandulosus_2
s_glandulosus,-120.833431,35.557329,2500,s_glandulosus_5
s_glandulosus,-120.90354,35.543099,2500,s_glandulosus_5
s_glandulosus,-121.9333333,37.21666667,2500,s_glandulosus_25
s_glandulosus,-122.05,37.25333333,2500,s_glandulosus_26
s_glandulosus,-121.6583333,37.34166667,2500,s_glandulosus_24
s_glandulosus,-121.7951,37.4009,3000,s_glandulosus_21
s_glandulosus,-121.8369,37.1629,2500,s_glandulosus_18
s_glandulosus,-121.7028,37.4286,2500,s_glandulosus_22
s_glandulosus,-121.6430969,37.34209824,3000,s_glandulosus_24
s_glandulosus,-121.63,37.3468,2500,s_glandulosus_24
s_glandulosus,-122.076326,37.301398,5000,s_glandulosus_26
s_glandulosus,-121.6262436,37.34545517,2500,s_glandulosus_24
s_glandulosus,-121.630681,37.34156,2500,s_glandulosus_24
s_glandulosus,-121.8366,37.1643,2500,s_glandulosus_18
s_glandulosus,-121.975139,37.185148,2500,s_glandulosus_25
s_glandulosus,-121.830907,37.467918,4000,s_glandulosus_69
s_glandulosus,-121.8435,37.1108,4000,s_glandulosus_18
s_glandulosus,-122.1898,37.3539,2500,s_glandulosus_19
s_glandulosus,-121.9838,37.2068,4800,s_glandulosus_25
s_glandulosus,-121.6262436,37.34545517,2500,s_glandulosus_24
s_glandulosus,-122.902765,38.707476,5000,s_glandulosus_38
s_glandulosus,-122.582852,38.51709,2500,s_glandulosus_37
s_glandulosus,-122.559154,38.466481,2500,s_glandulosus_66
s_glandulosus,-120.785838,35.648776,2500,s_glandulosus_12
s_glandulosus,-122.09664,38.51379,5000,s_glandulosus_67
s_glandulosus,-122.6532654,39.8213143,2500,s_glandulosus_56
s_glandulosus,-122.41881,38.76347,2500,s_glandulosus_64
s_glandulosus,-121.5976498,36.9497296,2500,s_glandulosus_15
s_glandulosus,-123.0308913,38.9363375,2500,s_glandulosus_45
s_glandulosus,-122.527625,38.442457,2500,s_glandulosus_66
s_glandulosus,-122.468611,38.709722,2500,s_glandulosus_40
s_glandulosus,-122.446944,38.695556,2500,s_glandulosus_40
s_glandulosus,-122.393889,38.760833,2500,s_glandulosus_64
s_glandulosus,-122.606667,37.9825,2500,s_glandulosus_32
s_glandulosus,-121.516111,37.340556,2500,s_glandulosus_23
s_glandulosus,-122.249987,38.498108,2500,s_glandulosus_68
s_glandulosus,-122.929722,38.994167,2500,s_glandulosus_47
s_glandulosus,-122.715,38.741111,2500,s_glandulosus_61
s_glandulosus,-122.763626,38.720245,2500,s_glandulosus_61
s_glandulosus,-122.814614,38.837871,2500,s_glandulosus_42
s_glandulosus,-122.283652,38.752373,2500,s_glandulosus_62
s_glandulosus,-122.328731,38.764116,2500,s_glandulosus_62
s_glandulosus,-120.661532,35.263148,2500,s_glandulosus_1
s_glandulosus,-120.8814111,35.44234167,2500,s_glandulosus_3
s_glandulosus,-120.663168,35.349696,2500,s_glandulosus_1
s_glandulosus,-120.683,35.264,2500,s_glandulosus_1
s_glandulosus,-120.687863,35.246465,2500,s_glandulosus_1
s_glandulosus,-121.102417,35.69566,2500,s_glandulosus_13
s_glandulosus,-121.078417,35.670245,2500,s_glandulosus_13
s_glandulosus,-121.315813,35.7889,2500,s_glandulosus_8
s_glandulosus,-121.090264,35.685751,2500,s_glandulosus_13
s_glandulosus,-121.681086,37.004111,2500,s_glandulosus_17
s_glandulosus,-120.643803,35.3189,2500,s_glandulosus_1
s_glandulosus,-121.583016,36.050598,2500,s_glandulosus_11
s_glandulosus,-121.559881,36.031215,2500,s_glandulosus_11
s_glandulosus,-122.44884,38.69822,2500,s_glandulosus_40
s_glandulosus,-121.158611,36.844306,2500,s_glandulosus_14
s_glandulosus,-122.108859,38.507154,2500,s_glandulosus_67
s_glandulosus,-121.19,36.48,2500,s_glandulosus_16
s_glandulosus,-122.256668,38.916431,2500,s_glandulosus_44
s_glandulosus,-122.074866,38.409524,2500,s_glandulosus_36
s_glandulosus,-122.626615,39.879126,2500,s_glandulosus_57
s_glandulosus,-121.554547,37.514184,2500,s_glandulosus_70
s_glandulosus,-121.8899,37.5892,5000,s_glandulosus_31
s_glandulosus,-121.685,37.5652,2500,s_glandulosus_29
s_glandulosus,-121.9405,37.8844,2500,s_glandulosus_30
s_glandulosus,-121.9815,37.8894,2500,s_glandulosus_30
s_glandulosus,-121.9383,37.9016,2500,s_glandulosus_30
s_glandulosus,-122.786899,39.121704,2500,s_glandulosus_59
s_glandulosus,-122.620441,38.76274,2500,s_glandulosus_63
s_glandulosus,-122.4983108,39.0018398,2500,s_glandulosus_49
s_glandulosus,-122.936386,39.282387,2500,s_glandulosus_52
s_glandulosus,-122.606449,38.789697,2500,s_glandulosus_63
s_glandulosus,-122.776299,39.133826,2500,s_glandulosus_59
s_glandulosus,-122.952023,39.079599,2500,s_glandulosus_46
c_amplexicaulis,-119.922584,34.718709,2500,c_amplexicaulis_14
c_amplexicaulis,-119.986111,34.773611,2500,c_amplexicaulis_19
c_amplexicaulis,-117.704281,34.343061,2500,c_amplexicaulis_1
c_amplexicaulis,-118.348558,34.427023,5000,c_amplexicaulis_28
c_amplexicaulis,-118.108757,34.344545,2500,c_amplexicaulis_29
c_amplexicaulis,-118.534574,34.423176,5000,c_amplexicaulis_22
c_amplexicaulis,-118.643605,34.7685,2500,c_amplexicaulis_12
c_amplexicaulis,-118.221447,34.469579,2500,c_amplexicaulis_24
c_amplexicaulis,-117.8544364,34.36106498,2500,c_amplexicaulis_1
c_amplexicaulis,-117.622809,34.320792,2500,c_amplexicaulis_31
