species,specimen,long,lat,elev_m,collection_year,collection_month,collection_day,collection_date,collection_DOWY,sept_1_date,first_rain_date,first_rain_DOWY,season_length,first_14dry_date,first_14dry_DOWY,coll_rel_dry,mid_DOWY,early_ppt,late_ppt,GDD,number_of_small_events,total_ppt_mm_prism,total_rain_events,tmean_first_rain_to_coll,day_first_rain_to_coll
amplexicaulis,1008685,-117.7043,34.3431,1767,1998,7,10,1998-07-10,312,1997-09-01,1997-09-25,24,288,1998-04-18,229,83,168,526.23,640.15,836.55,10,1166.38,23,7.881314878892733,288
amplexicaulis,1053559,-118.1088,34.3445,1147,2011,5,31,2011-05-31,272,2010-09-01,2010-12-16,106,166,2011-04-10,221,51,189,541.1899999999999,171.13,403.25,5,712.3199999999999,13,9.78562874251497,166
amplexicaulis,1064358,-118.5346,34.4232,368,1989,5,5,1989-05-05,246,1988-09-01,1988-12-16,106,140,1989-04-01,212,34,176,142.97,18.55,624.5,6,161.52,10,13.00709219858156,140
amplexicaulis,1077862,-118.2214,34.4696,909,2000,5,16,2000-05-16,258,1999-09-01,2000-02-20,172,86,2000-04-01,213,45,215,106.52,27.099999999999998,440.25,1,133.62,4,12.740229885057472,86
amplexicaulis,1083854,-117.8544,34.3611,2147,2003,6,4,2003-06-04,276,2002-09-01,2002-11-08,68,208,2003-05-10,251,25,172,435.09,346.2,531.35,7,781.29,16,6.660287081339713,208
amplexicaulis,1105244,-117.6228,34.3208,2196,2013,6,20,2013-06-20,292,2012-09-01,2012-12-13,103,189,2013-04-18,229,63,197.5,172.87,20.2,494.8,10,193.07,15,6.83,189
amplexicaulis,1149111,-117.8079,34.3969,1586,2008,5,5,2008-05-05,247,2007-09-01,2008-01-05,126,121,2008-04-01,213,34,186.5,177.31,6.72,527.15,2,184.03,5,7.689344262295082,121
amplexicaulis,1173727,-117.6349,34.25,1988,1990,6,5,1990-06-05,277,1989-09-01,1989-10-21,50,227,1990-05-02,243,34,163.5,300.28,283.6,481.5,6,583.88,16,6.423684210526316,227
amplexicaulis,1214738,-118.0936,34.4181,1385,2011,5,12,2011-05-12,253,2010-09-01,2010-10-18,47,206,2011-04-20,231,22,150,357.45,252.88,449.25,11,610.33,22,8.882125603864734,206
amplexicaulis,1401922,-119.9861,34.7736,673,2010,5,4,2010-05-04,245,2009-09-01,2009-10-14,43,202,2010-04-29,240,5,144,337.94,226.68,651.05,8,564.62,22,11.630049261083744,202
amplexicaulis,1401997,-116.5286,33.1406,822,2013,3,15,2013-03-15,195,2012-09-01,2012-12-13,103,92,2013-05-11,252,-57,149,91.09,49.91,408.65,6,141,10,7.812903225806451,92
amplexicaulis,1406591,-117.8947,34.4053,1446,2008,6,18,2008-06-18,291,2007-09-01,2008-01-05,126,165,2008-04-05,217,74,208.5,184.71,23.74,923.1,4,208.45,8,10.39277108433735,165
amplexicaulis,1406592,-117.8089,34.3978,1586,2008,5,5,2008-05-05,247,2007-09-01,2008-01-05,126,121,2008-04-01,213,34,186.5,177.31,6.72,527.15,2,184.03,5,7.689344262295082,121
amplexicaulis,1458858,-116.9773,34.242,2132,1987,4,27,1987-04-27,238,1986-09-01,1986-09-24,23,215,1987-04-05,216,22,130.5,293.53000000000003,277.8,1059.6,9,571.72,21,3.1310185185185184,215
amplexicaulis,1458859,-116.8332,33.9398,831,1991,4,15,1991-04-15,226,1990-09-01,1991-01-04,125,101,1991-04-01,212,14,175.5,74.91,367.13,361.8,4,442.04,9,11.642156862745098,101
amplexicaulis,1458860,-117.0824,34.2222,1908,1987,6,23,1987-06-23,295,1986-09-01,1986-09-24,23,272,1987-04-05,216,79,159,341.65999999999997,292.17,689.95,13,633.83,25,7.4091575091575095,272
amplexicaulis,1458861,-117.5944,34.3047,1824,1993,6,24,1993-06-24,296,1992-09-01,1992-10-29,58,238,1993-04-01,212,84,177,1874.55,116.73,695.75,3,1991.28,15,6.941004184100418,238
amplexicaulis,1465760,-117.639,34.281,2421,1995,7,13,1995-07-13,315,1994-09-01,1994-10-04,33,282,1995-04-01,212,103,174,1054.32,598.96,642.2,8,1653.28,20,4.902826855123675,282
amplexicaulis,1465763,-117.6081,34.2653,1988,1995,7,14,1995-07-14,316,1994-09-01,1994-10-04,33,283,1995-04-01,212,104,174.5,1254.89,683.44,671.8,8,1938.33,23,6.956690140845071,283
