genus,species,specimen,individual,counter,bud,flwr,immFrt,fillFrt,infFrt,unfFrt,infFlwr,infImmFrt,infBud,unkRepStr,initials,entire_plant_confidence,early_herbivory,late_herbivory,number_repro_branches,stem_diam_cm,folder,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
c,coulteri,172732,1,mb,14,15,5,6,2,0,0,0,0,0,mb,yes_roots,no,yes,6,0.274,c_coulteri,30,4,1977,34.820938,-118.974839,1000,1536,1661
c,coulteri,172734,1,mb,1,6,2,1,0,1,0,0,0,0,mb,yes_roots,no,no,1,0.256,c_coulteri,27,4,2000,34.687738,-119.357015,1000,1050,1150
c,coulteri,172734,2,mb,0,4,1,3,0,0,1,0,0,0,mb,yes_roots,no,no,1,0.216,c_coulteri,27,4,2000,34.687738,-119.357015,1000,1050,1150
c,coulteri,172734,3,mb,2,6,1,0,2,0,0,0,0,0,mb,yes_roots,no,no,1,0.294,c_coulteri,27,4,2000,34.687738,-119.357015,1000,1050,1150
c,coulteri,172736,1,mb,0,2,14,12,0,6,0,0,0,0,mb,yes_roots,yes,no,4,0.292,c_coulteri,26,4,2001,35.107881,-120.0759,100,404,454
c,coulteri,172737,1,mb,3,14,3,4,0,0,0,1,0,0,mb,yes_roots,no,no,3,0.251,c_coulteri,24,4,1992,34.755275,-119.414366,1000,1097,NA
c,coulteri,172737,2,an,0,6,4,2,0,0,1,2,0,0,an,yes_roots,no,no,1,0.369,c_coulteri,24,4,1992,34.755275,-119.414366,1000,1097,NA
c,coulteri,172737,3,an,1,8,3,5,0,0,1,1,0,0,an,yes_roots,no,no,1,0.363,c_coulteri,24,4,1992,34.755275,-119.414366,1000,1097,NA
c,coulteri,172737,4,an,0,7,3,2,0,0,0,0,4,0,an,yes_roots,no,no,2,0.245,c_coulteri,24,4,1992,34.755275,-119.414366,1000,1097,NA
c,coulteri,172739,1,an,0,7,3,0,1,0,1,0,2,0,an,yes_assumed,no,no,1,0.286,c_coulteri,28,3,1997,34.919876,-119.405089,100,1368,NA
c,coulteri,172762,1,an,8,5,0,0,0,0,1,4,0,0,an,yes_assumed,no,no,3,0.16,c_coulteri,30,3,1977,35.5769,-118.5057,1000,1200,1082
c,coulteri,172762,2,an,3,3,0,0,0,0,1,5,0,0,an,yes_roots,no,no,1,0.179,c_coulteri,30,3,1977,35.5769,-118.5057,1000,1200,1082
c,coulteri,172762,3,an,4,11,0,0,0,0,0,7,0,0,an,yes_roots,no,no,3,0.176,c_coulteri,30,3,1977,35.5769,-118.5057,1000,1200,1082
c,coulteri,208351,1,an,0,28,17,18,0,0,1,3,0,0,an,yes_roots,no,no,6,0.451,c_coulteri,12,4,1949,35.023,-120.206,2500,260,300
c,coulteri,208351,2,an,1,1,1,0,0,0,0,0,0,0,an,unsure,no,no,1,0.125,c_coulteri,12,4,1949,35.023,-120.206,2500,260,300
